Crop,Precipitation (mm day-1),Specific Humidity at 2 Meters (g/kg),Relative Humidity at 2 Meters (%),Temperature at 2 Meters (C),Yield
"Cocoa, beans",2248.92,17.72,83.4,26.01,11560
"Cocoa, beans",1938.42,17.54,82.11,26.11,11253
"Cocoa, beans",2301.54,17.81,82.79,26.24,9456
"Cocoa, beans",2592.35,17.61,85.07,25.56,9321
"Cocoa, beans",2344.72,17.61,84.12,25.76,8800
"Cocoa, beans",2339.3,17.7,84.54,25.76,8850
"Cocoa, beans",2326.09,18.09,84.63,26.11,9003
"Cocoa, beans",2718.08,18.3,85.43,26.12,9880
"Cocoa, beans",2061.61,17.8,84.36,25.88,9201
"Cocoa, beans",1934.62,17.94,83.43,26.21,8300
"Cocoa, beans",2217.12,18.03,84.39,26.1,5765
"Cocoa, beans",2249.7,18.01,84.24,26.11,5812
"Cocoa, beans",2530.96,18.15,85.33,26.02,6667
"Cocoa, beans",2504.7,18.19,85.45,26.02,6530
"Cocoa, beans",2686.2,18.38,85.77,26.13,6912
"Cocoa, beans",2414.79,18.18,85.76,25.93,7138
"Cocoa, beans",1999.53,18.2,84.36,26.27,7525
"Cocoa, beans",2362.8,18.7,84.03,26.79,7663
"Cocoa, beans",2792.95,18.24,86.04,25.95,8300
"Cocoa, beans",2751.24,18.31,85.98,26.02,9274
"Cocoa, beans",2646.28,18.4,86.02,26.1,9956
"Cocoa, beans",2302.99,18.22,84.48,26.25,9801
"Cocoa, beans",2692.34,18.37,85.54,26.18,7965
"Cocoa, beans",2424.55,18.28,85.16,26.18,7919
"Cocoa, beans",2363.63,18.35,84.92,26.28,8226
"Cocoa, beans",2892.78,18.49,86.09,26.18,10062
"Cocoa, beans",2729.53,18.41,86.03,26.11,12362
"Cocoa, beans",3085.79,18.34,86.1,26.03,13056
"Cocoa, beans",2922.18,18.43,85.51,26.23,10058
"Cocoa, beans",2546.33,18.43,84.23,26.49,7795
"Cocoa, beans",2938.29,18.22,85.42,26.06,10737
"Cocoa, beans",2771.73,18.38,84.98,26.3,7979
"Cocoa, beans",2607.96,18.37,84.67,26.35,7066
"Cocoa, beans",2604.59,18.19,83.44,26.43,7991
"Cocoa, beans",2308.51,18.27,83.65,26.47,11108
"Cocoa, beans",2410.13,18.58,83.45,26.81,11487
"Cocoa, beans",2967.41,18.67,85.48,26.46,7314
"Cocoa, beans",2333.46,18.5,84.85,26.43,9502
"Cocoa, beans",2109.34,18.51,83.52,26.72,8848
Oil palm fruit,2248.92,17.72,83.4,26.01,169783
Oil palm fruit,1938.42,17.54,82.11,26.11,201436
Oil palm fruit,2301.54,17.81,82.79,26.24,152343
Oil palm fruit,2592.35,17.61,85.07,25.56,181826
Oil palm fruit,2344.72,17.61,84.12,25.76,178183
Oil palm fruit,2339.3,17.7,84.54,25.76,169781
Oil palm fruit,2326.09,18.09,84.63,26.11,166042
Oil palm fruit,2718.08,18.3,85.43,26.12,165262
Oil palm fruit,2061.61,17.8,84.36,25.88,183004
Oil palm fruit,1934.62,17.94,83.43,26.21,177543
Oil palm fruit,2217.12,18.03,84.39,26.1,150428
Oil palm fruit,2249.7,18.01,84.24,26.11,151070
Oil palm fruit,2530.96,18.15,85.33,26.02,172165
Oil palm fruit,2504.7,18.19,85.45,26.02,160862
Oil palm fruit,2686.2,18.38,85.77,26.13,166136
Oil palm fruit,2414.79,18.18,85.76,25.93,163541
Oil palm fruit,1999.53,18.2,84.36,26.27,164772
Oil palm fruit,2362.8,18.7,84.03,26.79,142425
Oil palm fruit,2792.95,18.24,86.04,25.95,165993
Oil palm fruit,2751.24,18.31,85.98,26.02,167621
Oil palm fruit,2646.28,18.4,86.02,26.1,168476
Oil palm fruit,2302.99,18.22,84.48,26.25,162240
Oil palm fruit,2692.34,18.37,85.54,26.18,175629
Oil palm fruit,2424.55,18.28,85.16,26.18,180323
Oil palm fruit,2363.63,18.35,84.92,26.28,184629
Oil palm fruit,2892.78,18.49,86.09,26.18,190626
Oil palm fruit,2729.53,18.41,86.03,26.11,183544
Oil palm fruit,3085.79,18.34,86.1,26.03,195523
Oil palm fruit,2922.18,18.43,85.51,26.23,182696
Oil palm fruit,2546.33,18.43,84.23,26.49,171189
Oil palm fruit,2938.29,18.22,85.42,26.06,185831
Oil palm fruit,2771.73,18.38,84.98,26.3,186959
Oil palm fruit,2607.96,18.37,84.67,26.35,181496
Oil palm fruit,2604.59,18.19,83.44,26.43,203399
Oil palm fruit,2308.51,18.27,83.65,26.47,202379
Oil palm fruit,2410.13,18.58,83.45,26.81,172601
Oil palm fruit,2967.41,18.67,85.48,26.46,199074
Oil palm fruit,2333.46,18.5,84.85,26.43,189657
Oil palm fruit,2109.34,18.51,83.52,26.72,189896
"Rice, paddy",2248.92,17.72,83.4,26.01,28409
"Rice, paddy",1938.42,17.54,82.11,26.11,27619
"Rice, paddy",2301.54,17.81,82.79,26.24,26041
"Rice, paddy",2592.35,17.61,85.07,25.56,25187
"Rice, paddy",2344.72,17.61,84.12,25.76,26648
"Rice, paddy",2339.3,17.7,84.54,25.76,26399
"Rice, paddy",2326.09,18.09,84.63,26.11,24686
"Rice, paddy",2718.08,18.3,85.43,26.12,25251
"Rice, paddy",2061.61,17.8,84.36,25.88,26251
"Rice, paddy",1934.62,17.94,83.43,26.21,27694
"Rice, paddy",2217.12,18.03,84.39,26.1,28178
"Rice, paddy",2249.7,18.01,84.24,26.11,29918
"Rice, paddy",2530.96,18.15,85.33,26.02,30348
"Rice, paddy",2504.7,18.19,85.45,26.02,30614
"Rice, paddy",2686.2,18.38,85.77,26.13,31619
"Rice, paddy",2414.79,18.18,85.76,25.93,32510
"Rice, paddy",1999.53,18.2,84.36,26.27,30676
"Rice, paddy",2362.8,18.7,84.03,26.79,28829
"Rice, paddy",2792.95,18.24,86.04,25.95,29415
"Rice, paddy",2751.24,18.31,85.98,26.02,30640
"Rice, paddy",2646.28,18.4,86.02,26.1,31101
"Rice, paddy",2302.99,18.22,84.48,26.25,32385
"Rice, paddy",2692.34,18.37,85.54,26.18,33596
"Rice, paddy",2424.55,18.28,85.16,26.18,33260
"Rice, paddy",2363.63,18.35,84.92,26.28,34221
"Rice, paddy",2892.78,18.49,86.09,26.18,33907
"Rice, paddy",2729.53,18.41,86.03,26.11,35277
"Rice, paddy",3085.79,18.34,86.1,26.03,35836
"Rice, paddy",2922.18,18.43,85.51,26.23,37205
"Rice, paddy",2546.33,18.43,84.23,26.49,36361
"Rice, paddy",2938.29,18.22,85.42,26.06,37468
"Rice, paddy",2771.73,18.38,84.98,26.3,37972
"Rice, paddy",2607.96,18.37,84.67,26.35,38763
"Rice, paddy",2604.59,18.19,83.44,26.43,29855
"Rice, paddy",2308.51,18.27,83.65,26.47,40223
"Rice, paddy",2410.13,18.58,83.45,26.81,39775
"Rice, paddy",2967.41,18.67,85.48,26.46,37496
"Rice, paddy",2333.46,18.5,84.85,26.43,37704
"Rice, paddy",2109.34,18.51,83.52,26.72,42550
"Rubber, natural",2248.92,17.72,83.4,26.01,9322
"Rubber, natural",1938.42,17.54,82.11,26.11,9223
"Rubber, natural",2301.54,17.81,82.79,26.24,9866
"Rubber, natural",2592.35,17.61,85.07,25.56,9718
"Rubber, natural",2344.72,17.61,84.12,25.76,9573
"Rubber, natural",2339.3,17.7,84.54,25.76,10024
"Rubber, natural",2326.09,18.09,84.63,26.11,10285
"Rubber, natural",2718.08,18.3,85.43,26.12,10010
"Rubber, natural",2061.61,17.8,84.36,25.88,8604
"Rubber, natural",1934.62,17.94,83.43,26.21,8002
"Rubber, natural",2217.12,18.03,84.39,26.1,6913
"Rubber, natural",2249.7,18.01,84.24,26.11,6546
"Rubber, natural",2530.96,18.15,85.33,26.02,6077
"Rubber, natural",2504.7,18.19,85.45,26.02,6333
"Rubber, natural",2686.2,18.38,85.77,26.13,6448
"Rubber, natural",2414.79,18.18,85.76,25.93,6562
"Rubber, natural",1999.53,18.2,84.36,26.27,6008
"Rubber, natural",2362.8,18.7,84.03,26.79,5693
"Rubber, natural",2792.95,18.24,86.04,25.95,5249
"Rubber, natural",2751.24,18.31,85.98,26.02,6484
"Rubber, natural",2646.28,18.4,86.02,26.1,6348
"Rubber, natural",2302.99,18.22,84.48,26.25,6597
"Rubber, natural",2692.34,18.37,85.54,26.18,7435
"Rubber, natural",2424.55,18.28,85.16,26.18,9139
"Rubber, natural",2363.63,18.35,84.92,26.28,8857
"Rubber, natural",2892.78,18.49,86.09,26.18,10159
"Rubber, natural",2729.53,18.41,86.03,26.11,9612
"Rubber, natural",3085.79,18.34,86.1,26.03,8599
"Rubber, natural",2922.18,18.43,85.51,26.23,8337
"Rubber, natural",2546.33,18.43,84.23,26.49,9205
"Rubber, natural",2938.29,18.22,85.42,26.06,9701
"Rubber, natural",2771.73,18.38,84.98,26.3,8865
"Rubber, natural",2607.96,18.37,84.67,26.35,7817
